Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,MonthlyIncomeGroup,Working_Hours_Group,Experience_Group,Long_Term,Senior_Employee,High_Performer,Salary_Level
3841,29,,,,,4,4360,74,26,14,2,3,4,1,26,,7,54,17,2,1,4,30,1,,Medium,High,,1,0,0,Level 1
3842,28,,,,,5,12245,62,18,3,3,3,3,4,58,,9,57,9,1,3,1,46,4,,,High,,1,0,1,Level 3
3843,52,,,,,3,19823,86,15,5,3,3,2,3,98,,7,53,1,4,3,1,35,4,,,High,,1,1,0,Level 4
3844,51,,,,,2,7353,95,24,13,8,1,4,2,90,,9,34,0,4,3,1,15,1,,High,Low,,1,1,0,Level 2
3845,25,,,,,3,5610,91,21,8,2,3,2,2,74,,3,44,15,3,1,4,25,1,,Medium,Normal,,1,0,0,Level 1
3846,55,,,,,5,13006,33,26,13,2,4,3,1,49,,8,54,3,1,4,1,38,2,,,High,,1,1,0,Level 3
3847,21,,,,,3,3233,49,18,3,8,3,1,3,73,,2,51,12,3,1,1,7,2,,Medium,High,,1,0,0,Level 1
3848,48,,,,,2,13623,47,3,1,3,1,5,1,19,,9,54,12,3,1,4,2,4,,,High,New,0,0,0,Level 3
3849,23,,,,,5,18895,56,10,12,5,3,1,2,96,,3,33,2,1,2,3,47,1,,,Low,Expert,1,0,0,Level 4
3850,20,,,,,3,3838,68,26,14,9,1,5,1,55,,4,36,16,3,2,2,3,2,,Medium,Normal,,1,0,0,Level 1
3851,38,,,,,5,5784,53,28,13,4,2,1,2,17,,9,54,5,2,1,1,49,2,,Medium,High,,1,0,0,Level 1
3852,45,,,,,3,4351,78,15,14,9,4,5,4,79,,8,58,3,3,3,3,34,2,,Medium,High,,1,0,1,Level 1
3853,44,,,,,1,3205,52,23,1,2,4,1,4,64,,1,41,12,3,1,4,7,3,,Medium,Normal,,1,0,1,Level 1
3854,29,,,,,5,19568,52,26,7,7,1,2,4,78,,3,57,17,4,3,3,20,2,,,High,,1,0,1,Level 4
3855,34,,,,,5,9902,87,8,6,4,2,5,2,53,,6,41,13,2,3,3,1,2,,Very High,Normal,Expert,1,0,0,Level 2
3856,41,,,,,5,8502,66,21,5,7,4,2,4,4,,6,47,1,2,2,1,30,4,,High,High,,1,0,1,Level 2
3857,40,,,,,5,13984,61,26,8,5,3,3,4,14,,7,30,0,3,4,4,1,2,,,Low,,1,0,1,Level 3
3858,41,,,,,3,15686,79,8,8,8,4,4,2,61,,2,51,18,3,4,1,29,4,,,High,Expert,1,0,0,Level 4
3859,55,,,,,4,18242,56,29,11,1,1,3,3,85,,1,33,19,3,1,4,5,1,,,Low,,1,1,0,Level 4
3860,53,,,,,3,5729,69,14,1,6,2,3,3,37,,8,30,4,2,2,3,3,1,,Medium,Low,,1,1,0,Level 1
3861,49,,,,,2,19697,73,10,7,9,2,5,2,44,,9,39,5,4,4,2,30,4,,,Normal,Expert,1,0,0,Level 4
3862,44,,,,,1,11419,80,13,14,3,1,5,4,88,,8,52,11,1,4,2,1,1,,Very High,High,,1,0,1,Level 3
3863,47,,,,,3,9801,88,10,11,9,3,3,2,60,,1,31,19,4,1,3,43,1,,Very High,Low,Expert,1,0,0,Level 2
3864,20,,,,,3,16457,68,6,2,6,2,1,2,51,,2,41,3,3,1,2,11,1,,,Normal,Senior,1,0,0,Level 4
3865,23,,,,,5,18960,65,18,13,8,1,4,2,96,,9,49,13,1,2,2,17,2,,,High,,1,0,0,Level 4
3866,26,,,,,2,15149,37,16,4,9,2,2,3,59,,4,58,10,1,1,1,39,1,,,High,,1,0,0,Level 3
3867,28,,,,,5,3926,87,28,1,0,2,2,3,99,,7,35,2,3,3,3,21,2,,Medium,Low,,1,0,0,Level 1
3868,55,,,,,5,6336,25,28,2,4,1,1,3,23,,8,51,13,4,4,1,28,4,,High,High,,1,1,0,Level 1
3869,38,,,,,4,6121,50,18,13,5,1,4,4,62,,5,41,7,4,1,2,4,1,,High,Normal,,1,0,1,Level 1
3870,20,,,,,1,10542,70,24,10,3,3,1,3,59,,9,52,16,1,1,3,40,4,,Very High,High,,1,0,0,Level 2
3871,29,,,,,4,18378,56,20,9,9,3,2,1,9,,6,53,14,2,2,4,11,1,,,High,,1,0,0,Level 4
3872,55,,,,,5,5355,27,24,12,5,2,1,1,45,,7,32,6,2,2,3,2,3,,Medium,Low,,1,1,0,Level 1
3873,28,,,,,1,18684,97,25,1,0,3,5,3,67,,1,46,2,2,3,2,38,1,,,High,,1,0,0,Level 4
3874,51,,,,,3,8772,66,6,7,7,2,2,4,5,,6,43,6,3,1,3,9,4,,High,Normal,Senior,1,1,1,Level 2
3875,51,,,,,2,6399,44,9,4,5,1,5,1,72,,4,41,9,1,4,3,39,2,,High,Normal,Expert,1,1,0,Level 1
3876,25,,,,,4,14544,96,16,7,9,1,4,2,43,,5,45,5,4,4,2,15,2,,,Normal,,1,0,0,Level 3
3877,57,,,,,2,14338,26,6,14,3,3,5,1,77,,9,59,11,4,3,3,37,2,,,High,Senior,1,1,0,Level 3
3878,36,,,,,5,9737,90,11,7,4,2,1,3,91,,5,51,4,2,3,3,12,3,,Very High,High,Expert,1,0,0,Level 2
3879,29,,,,,1,10929,35,3,11,7,3,4,4,81,,8,45,3,4,3,4,37,4,,Very High,Normal,New,0,0,1,Level 2
3880,46,,,,,3,19009,26,8,13,1,4,3,4,30,,1,51,0,4,2,4,6,2,,,High,Expert,1,0,1,Level 4
3881,54,,,,,1,3608,76,1,10,3,4,4,3,34,,3,58,5,1,1,3,48,2,,Medium,High,New,0,1,0,Level 1
3882,40,,,,,2,19995,53,22,3,6,4,3,2,34,,2,43,18,2,3,4,41,2,,,Normal,,1,0,0,Level 4
3883,44,,,,,2,4020,58,15,13,1,4,3,3,99,,8,39,16,3,1,2,12,2,,Medium,Normal,,1,0,0,Level 1
3884,47,,,,,3,16072,18,15,2,5,2,4,3,18,,1,36,1,4,3,3,44,3,,,Normal,,1,0,0,Level 4
3885,34,,,,,3,3240,45,19,3,8,2,3,3,32,,2,44,1,3,4,3,33,1,,Medium,Normal,,1,0,0,Level 1
3886,23,,,,,1,5052,38,26,5,1,1,5,4,94,,9,31,14,3,2,4,45,1,,Medium,Low,,1,0,1,Level 1
3887,48,,,,,4,8334,56,10,13,3,1,5,3,88,,9,51,19,1,4,3,30,2,,High,High,Expert,1,0,0,Level 2
3888,28,,,,,1,4602,63,19,8,9,2,4,4,58,,1,44,10,1,3,3,43,1,,Medium,Normal,,1,0,1,Level 1
3889,46,,,,,2,13596,96,9,11,9,4,3,3,46,,8,48,2,1,1,4,20,4,,,High,Expert,1,0,0,Level 3
3890,45,,,,,1,19752,34,7,9,4,3,1,3,70,,7,57,13,2,4,4,10,3,,,High,Senior,1,0,0,Level 4
3891,38,,,,,5,17128,22,29,4,9,3,4,1,67,,4,56,5,4,4,2,12,2,,,High,,1,0,0,Level 4
3892,47,,,,,1,10109,47,14,6,7,3,3,3,1,,7,52,15,3,4,2,8,1,,Very High,High,,1,0,0,Level 2
3893,36,,,,,1,6516,82,2,4,4,4,3,2,88,,1,59,2,3,2,1,23,2,,High,High,New,0,0,0,Level 1
3894,39,,,,,5,7429,52,22,14,4,2,3,4,24,,3,50,9,2,3,2,4,4,,High,High,,1,0,1,Level 2
3895,59,,,,,2,13469,50,28,14,9,4,1,4,33,,2,54,11,2,3,1,29,4,,,High,,1,1,1,Level 3
3896,58,,,,,3,19248,62,13,14,8,4,5,1,52,,8,37,5,1,1,4,46,2,,,Normal,,1,1,0,Level 4
3897,42,,,,,1,11970,22,20,9,9,2,2,3,24,,9,50,18,3,2,3,33,2,,Very High,High,,1,0,0,Level 3
3898,51,,,,,4,6431,87,26,5,5,4,1,1,21,,5,56,11,4,2,3,4,4,,High,High,,1,1,0,Level 1
3899,52,,,,,3,18946,96,27,2,4,2,2,4,36,,5,48,0,4,1,1,15,1,,,High,,1,1,1,Level 4
3900,24,,,,,4,19163,74,23,1,2,1,5,3,0,,5,55,11,1,2,2,12,2,,,High,,1,0,0,Level 4
3901,53,,,,,1,7482,38,4,5,0,2,3,3,31,,1,58,4,4,4,4,20,4,,High,High,Experienced,0,1,0,Level 2
3902,59,,,,,4,9252,31,7,8,5,3,2,1,78,,1,46,14,4,2,2,48,2,,Very High,High,Senior,1,1,0,Level 2
3903,30,,,,,3,6271,79,22,11,9,2,2,1,47,,8,59,1,2,4,1,34,3,,High,High,,1,0,0,Level 1
3904,22,,,,,4,13804,53,8,11,8,4,1,2,77,,8,55,17,3,1,2,24,4,,,High,Expert,1,0,0,Level 3
3905,52,,,,,4,13037,93,23,14,3,2,5,1,6,,2,30,19,4,1,3,16,1,,,Low,,1,1,0,Level 3
3906,30,,,,,3,6508,69,16,13,7,1,4,3,66,,3,33,8,3,4,1,35,2,,High,Low,,1,0,0,Level 1
3907,35,,,,,3,9976,91,25,6,1,1,2,3,65,,2,32,17,3,1,1,31,3,,Very High,Low,,1,0,0,Level 2
3908,37,,,,,3,6111,75,20,11,1,1,1,4,56,,8,36,19,3,4,1,43,1,,High,Normal,,1,0,1,Level 1
3909,49,,,,,3,17632,45,9,12,3,1,3,2,35,,9,54,16,1,4,4,7,2,,,High,Expert,1,0,0,Level 4
3910,29,,,,,5,19037,42,21,7,1,3,5,4,92,,9,42,10,1,4,3,43,3,,,Normal,,1,0,1,Level 4
3911,37,,,,,1,3926,46,29,9,5,2,3,1,73,,6,43,3,1,2,1,14,1,,Medium,Normal,,1,0,0,Level 1
3912,57,,,,,3,8927,21,11,4,7,2,3,4,12,,6,37,11,3,3,4,45,3,,High,Normal,Expert,1,1,1,Level 2
3913,38,,,,,2,18324,92,25,5,2,4,4,1,82,,9,39,7,4,3,4,32,4,,,Normal,,1,0,0,Level 4
3914,55,,,,,4,5095,28,14,9,2,4,2,2,43,,5,52,2,4,3,3,27,1,,Medium,High,,1,1,0,Level 1
3915,32,,,,,3,15032,87,27,3,3,1,4,1,81,,4,53,0,3,2,4,23,1,,,High,,1,0,0,Level 3
3916,22,,,,,3,12018,68,4,1,4,3,1,1,61,,5,53,7,4,4,2,25,4,,,High,Experienced,0,0,0,Level 3
3917,29,,,,,1,7695,84,19,8,2,3,4,1,67,,8,40,10,4,3,3,45,3,,High,Normal,,1,0,0,Level 2
3918,57,,,,,3,3769,65,15,9,5,4,1,1,46,,2,47,19,3,4,3,44,2,,Medium,High,,1,1,0,Level 1
3919,20,,,,,5,11648,93,14,11,4,1,2,3,29,,8,33,19,3,1,1,32,2,,Very High,Low,,1,0,0,Level 3
3920,46,,,,,2,12264,44,23,14,7,4,2,1,72,,2,51,14,2,2,3,35,4,,,High,,1,0,0,Level 3
3921,27,,,,,2,18435,44,16,10,9,1,4,2,34,,1,31,15,2,4,3,38,3,,,Low,,1,0,0,Level 4
3922,36,,,,,3,18905,30,20,11,3,4,3,2,50,,6,43,4,4,4,2,9,3,,,Normal,,1,0,0,Level 4
3923,28,,,,,1,8367,37,21,12,5,4,4,4,52,,5,38,3,4,1,3,49,1,,High,Normal,,1,0,1,Level 2
3924,25,,,,,3,18163,45,3,14,8,4,5,4,9,,9,55,3,4,3,3,21,2,,,High,New,0,0,1,Level 4
3925,44,,,,,4,8502,26,6,10,5,1,2,2,42,,1,47,16,3,1,4,46,3,,High,High,Senior,1,0,0,Level 2
3926,58,,,,,2,16407,99,29,4,9,2,5,1,0,,6,41,13,2,3,2,4,3,,,Normal,,1,1,0,Level 4
3927,47,,,,,4,17576,17,4,13,4,1,5,3,1,,7,51,0,1,3,4,18,1,,,High,Experienced,0,0,0,Level 4
3928,52,,,,,5,7400,81,1,12,7,2,5,2,4,,9,30,8,4,3,4,42,2,,High,Low,New,0,1,0,Level 2
3929,56,,,,,2,17892,52,18,6,3,1,3,2,31,,6,47,11,1,2,4,16,4,,,High,,1,1,0,Level 4
3930,28,,,,,2,16899,99,8,7,5,1,2,3,94,,2,53,7,2,2,1,12,4,,,High,Expert,1,0,0,Level 4
3931,37,,,,,5,16278,30,16,7,6,3,2,2,38,,7,41,2,1,3,1,12,2,,,Normal,,1,0,0,Level 4
3932,40,,,,,4,8617,96,20,8,9,3,2,1,27,,8,35,6,2,4,4,44,3,,High,Low,,1,0,0,Level 2
3933,21,,,,,3,14665,18,28,6,5,2,4,4,70,,5,31,0,1,2,3,25,3,,,Low,,1,0,1,Level 3
3934,57,,,,,1,18342,34,16,7,7,4,1,2,50,,8,44,0,3,2,4,31,1,,,Normal,,1,1,0,Level 4
3935,59,,,,,4,7471,59,15,14,1,2,2,1,1,,6,37,13,2,2,1,46,4,,High,Normal,,1,1,0,Level 2
3936,55,,,,,5,17246,27,26,9,4,3,3,3,74,,3,30,13,4,2,1,45,1,,,Low,,1,1,0,Level 4
3937,56,,,,,5,18902,16,2,6,2,3,3,3,47,,6,50,6,2,2,4,7,4,,,High,New,0,1,0,Level 4
3938,34,,,,,5,14675,45,29,14,3,4,1,2,82,,1,39,6,2,2,4,23,3,,,Normal,,1,0,0,Level 3
3939,47,,,,,2,17877,42,12,13,9,2,4,1,26,,8,31,4,4,3,2,41,4,,,Low,,1,0,0,Level 4
3940,37,,,,,3,15969,87,4,2,7,4,3,4,47,,9,45,11,3,1,2,33,1,,,Normal,Experienced,0,0,1,Level 4
3941,53,,,,,2,18434,73,23,4,1,3,1,3,63,,7,34,3,2,1,4,39,4,,,Low,,1,1,0,Level 4
3942,41,,,,,2,6277,25,11,5,8,4,3,2,86,,8,42,0,1,4,4,9,1,,High,Normal,Expert,1,0,0,Level 1
3943,30,,,,,2,8955,49,2,8,6,2,1,2,94,,9,35,0,4,3,4,44,4,,High,Low,New,0,0,0,Level 2
3944,32,,,,,5,15131,63,6,4,0,4,3,2,69,,8,42,2,4,2,4,36,4,,,Normal,Senior,1,0,0,Level 3
3945,23,,,,,4,14136,58,17,1,2,1,4,3,48,,4,39,19,4,3,4,17,1,,,Normal,,1,0,0,Level 3
3946,41,,,,,1,14110,72,28,1,7,4,4,1,8,,5,44,17,2,2,1,12,2,,,Normal,,1,0,0,Level 3
3947,26,,,,,1,4444,65,19,2,1,3,3,4,32,,2,51,2,3,3,4,37,2,,Medium,High,,1,0,1,Level 1
3948,43,,,,,3,18008,31,9,8,9,2,3,4,22,,1,58,4,3,2,4,42,3,,,High,Expert,1,0,1,Level 4
3949,23,,,,,3,18508,18,5,3,6,4,5,1,92,,8,35,13,3,4,4,46,1,,,Low,Experienced,1,0,0,Level 4
3950,47,,,,,5,11279,47,14,6,0,1,2,1,93,,7,55,10,2,1,3,34,4,,Very High,High,,1,0,0,Level 2
3951,34,,,,,1,3012,76,16,7,2,3,4,4,69,,8,55,8,4,1,3,48,1,,Medium,High,,1,0,1,Level 1
3952,20,,,,,4,18540,95,27,11,9,2,3,2,59,,9,40,1,3,1,1,8,2,,,Normal,,1,0,0,Level 4
3953,22,,,,,5,11511,86,24,1,1,2,2,4,16,,8,46,3,1,4,3,18,3,,Very High,High,,1,0,1,Level 3
3954,33,,,,,3,16927,57,1,5,1,4,3,1,1,,5,30,9,2,2,4,20,2,,,Low,New,0,0,0,Level 4
3955,57,,,,,5,17958,98,20,2,9,2,2,3,38,,7,39,6,2,2,2,11,1,,,Normal,,1,1,0,Level 4
3956,20,,,,,3,8770,56,3,7,1,2,2,2,13,,5,50,18,3,3,1,25,3,,High,High,New,0,0,0,Level 2
3957,57,,,,,1,16211,65,10,12,3,3,4,3,79,,1,43,6,1,4,2,45,2,,,Normal,Expert,1,1,0,Level 4
3958,57,,,,,5,9199,52,25,12,5,1,5,4,36,,3,31,1,1,3,4,19,1,,Very High,Low,,1,1,1,Level 2
3959,40,,,,,2,6251,57,15,13,0,2,1,3,87,,1,54,4,1,1,2,17,4,,High,High,,1,0,0,Level 1
3960,48,,,,,3,3193,62,23,3,9,2,3,4,67,,9,59,7,4,1,4,23,4,,Medium,High,,1,0,1,Level 1
3961,24,,,,,2,16047,56,28,9,6,3,2,3,28,,4,38,7,2,2,4,31,1,,,Normal,,1,0,0,Level 4
3962,29,,,,,3,4626,71,3,1,6,1,5,1,89,,1,57,8,3,2,1,45,3,,Medium,High,New,0,0,0,Level 1
3963,47,,,,,2,19082,68,1,2,0,3,2,4,18,,1,47,8,3,2,2,3,4,,,High,New,0,0,1,Level 4
3964,40,,,,,1,16950,31,13,9,9,3,3,2,17,,1,59,18,4,1,2,12,2,,,High,,1,0,0,Level 4
3965,26,,,,,1,14033,65,15,7,8,3,1,2,91,,7,50,2,3,3,2,16,2,,,High,,1,0,0,Level 3
3966,22,,,,,4,8190,23,21,3,7,3,4,3,91,,9,47,5,4,2,3,11,4,,High,High,,1,0,0,Level 2
3967,39,,,,,4,11282,98,10,11,1,2,1,2,30,,5,58,17,2,4,4,41,4,,Very High,High,Expert,1,0,0,Level 2
3968,38,,,,,4,14869,22,3,8,6,2,4,2,11,,6,37,10,1,1,2,31,1,,,Normal,New,0,0,0,Level 3
3969,54,,,,,5,10243,77,27,5,1,3,2,1,84,,3,58,11,2,1,3,27,4,,Very High,High,,1,1,0,Level 2
3970,23,,,,,3,17780,70,18,2,3,4,5,2,31,,1,46,9,2,3,3,45,4,,,High,,1,0,0,Level 4
3971,24,,,,,5,10364,84,19,10,4,4,4,3,67,,5,33,18,2,4,2,17,4,,Very High,Low,,1,0,0,Level 2
3972,20,,,,,4,14711,23,21,1,9,1,2,2,22,,8,45,2,1,3,1,28,3,,,Normal,,1,0,0,Level 3
3973,23,,,,,3,6459,89,5,6,2,1,3,4,57,,3,30,6,1,3,1,2,2,,High,Low,Experienced,1,0,1,Level 1
3974,31,,,,,5,5369,19,10,4,6,3,3,4,12,,6,52,12,2,3,4,38,4,,Medium,High,Expert,1,0,1,Level 1
3975,46,,,,,1,13785,86,24,2,6,2,5,4,16,,5,36,2,3,1,2,18,3,,,Normal,,1,0,1,Level 3
3976,42,,,,,3,14569,78,16,1,5,4,5,3,94,,3,31,18,4,4,4,37,1,,,Low,,1,0,0,Level 3
3977,44,,,,,4,19729,66,20,7,6,4,3,2,21,,3,53,18,4,4,4,13,3,,,High,,1,0,0,Level 4
3978,40,,,,,1,8380,49,18,4,2,2,3,3,72,,9,36,2,3,1,1,16,1,,High,Normal,,1,0,0,Level 2
3979,43,,,,,3,10851,74,8,1,6,4,4,4,5,,3,37,4,2,4,3,46,4,,Very High,Normal,Expert,1,0,1,Level 2
3980,44,,,,,5,9292,53,13,13,6,4,5,4,72,,9,32,12,4,2,3,3,3,,Very High,Low,,1,0,1,Level 2
3981,51,,,,,4,4912,20,8,10,8,1,3,3,65,,4,37,8,3,2,3,14,4,,Medium,Normal,Expert,1,1,0,Level 1
3982,51,,,,,5,10196,35,26,1,1,1,4,2,58,,6,48,18,4,1,2,21,1,,Very High,High,,1,1,0,Level 2
3983,24,,,,,1,14877,50,13,7,2,3,2,3,61,,9,42,11,1,3,2,44,1,,,Normal,,1,0,0,Level 3
3984,55,,,,,1,11058,32,24,5,3,4,5,1,7,,2,46,1,3,2,1,48,3,,Very High,High,,1,1,0,Level 2
3985,58,,,,,1,8680,15,12,1,7,4,5,1,47,,7,56,19,2,3,3,24,4,,High,High,,1,1,0,Level 2
3986,35,,,,,3,5112,31,13,11,0,1,3,3,8,,1,33,15,2,1,2,4,3,,Medium,Low,,1,0,0,Level 1
3987,52,,,,,4,11867,83,27,9,1,4,3,3,98,,7,31,0,4,1,4,49,4,,Very High,Low,,1,1,0,Level 3
3988,40,,,,,1,3475,20,17,3,1,2,3,3,20,,5,34,7,4,1,2,46,1,,Medium,Low,,1,0,0,Level 1
3989,28,,,,,5,3325,72,15,10,1,1,3,2,37,,6,39,14,3,2,1,42,1,,Medium,Normal,,1,0,0,Level 1
3990,25,,,,,4,18932,59,28,1,1,1,1,4,75,,9,34,14,4,3,2,34,4,,,Low,,1,0,1,Level 4
3991,54,,,,,5,11039,86,9,13,6,2,3,1,40,,3,38,3,3,4,2,34,4,,Very High,Normal,Expert,1,1,0,Level 2
3992,58,,,,,5,18817,97,20,2,5,3,2,2,2,,7,37,17,1,1,4,7,2,,,Normal,,1,1,0,Level 4
3993,41,,,,,1,12488,62,4,10,6,1,3,2,23,,4,32,1,1,1,4,5,2,,,Low,Experienced,0,0,0,Level 3
3994,24,,,,,4,11135,64,24,6,5,4,3,4,27,,1,58,1,4,1,4,36,2,,Very High,High,,1,0,1,Level 2
3995,42,,,,,2,3281,70,12,3,9,4,2,1,60,,6,42,0,1,2,1,20,2,,Medium,Normal,,1,0,0,Level 1
3996,36,,,,,3,3656,23,24,10,0,4,4,2,54,,4,44,12,1,2,2,40,3,,Medium,Normal,,1,0,0,Level 1
3997,31,,,,,2,5210,76,22,8,5,2,2,4,41,,1,59,12,3,3,4,4,1,,Medium,High,,1,0,1,Level 1
3998,42,,,,,3,12092,45,4,1,3,3,5,2,72,,5,30,3,2,3,2,23,2,,,Low,Experienced,0,0,0,Level 3
3999,35,,,,,4,10468,79,13,1,8,1,2,1,3,,1,57,12,4,3,2,33,4,,Very High,High,,1,0,0,Level 2
4000,22,,,,,1,15618,75,3,8,5,1,5,3,90,,1,39,13,2,2,1,4,4,,,Normal,New,0,0,0,Level 3
4001,49,,,,,4,3143,24,5,11,8,3,1,2,2,,5,45,4,3,2,2,18,3,,Medium,Normal,Experienced,1,0,0,Level 1
4002,41,,,,,2,6933,67,13,1,7,1,2,2,74,,4,56,9,3,2,4,4,4,,High,High,,1,0,0,Level 1
4003,28,,,,,5,12605,78,14,14,4,4,4,2,72,,6,59,14,2,3,2,41,4,,,High,,1,0,0,Level 3
4004,48,,,,,3,13775,78,8,11,9,3,1,1,61,,3,39,13,4,2,1,35,1,,,Normal,Expert,1,0,0,Level 3
4005,56,,,,,3,14866,64,23,4,6,2,3,3,46,,4,40,16,4,2,4,31,3,,,Normal,,1,1,0,Level 3
4006,42,,,,,2,5048,79,11,11,7,3,4,3,93,,3,35,1,2,3,3,21,4,,Medium,Low,Expert,1,0,0,Level 1
4007,32,,,,,1,8323,91,8,13,4,3,2,2,34,,2,45,1,3,2,1,28,3,,High,Normal,Expert,1,0,0,Level 2
4008,51,,,,,4,14119,28,12,13,7,1,2,2,61,,4,57,15,3,4,1,7,3,,,High,,1,1,0,Level 3
4009,42,,,,,2,4894,37,11,6,9,3,4,4,60,,2,46,6,2,3,1,46,1,,Medium,High,Expert,1,0,1,Level 1
4010,36,,,,,4,8320,42,17,1,8,4,3,2,96,,1,37,1,1,2,1,49,2,,High,Normal,,1,0,0,Level 2
4011,59,,,,,1,6976,72,27,4,4,1,3,4,14,,5,50,19,1,4,2,14,1,,High,High,,1,1,1,Level 1
4012,40,,,,,5,16225,54,13,13,7,3,1,4,93,,6,40,19,1,3,1,1,1,,,Normal,,1,0,1,Level 4
4013,21,,,,,4,14454,78,4,5,8,2,4,1,74,,5,38,9,2,2,2,4,1,,,Normal,Experienced,0,0,0,Level 3
4014,56,,,,,1,18208,16,13,13,0,2,5,2,51,,4,56,0,2,4,4,28,2,,,High,,1,1,0,Level 4
4015,25,,,,,2,3408,57,9,1,6,4,4,2,63,,6,48,8,3,1,3,33,2,,Medium,High,Expert,1,0,0,Level 1
4016,37,,,,,5,9887,26,22,2,6,3,3,1,55,,1,58,18,4,2,1,32,3,,Very High,High,,1,0,0,Level 2
4017,49,,,,,5,19961,49,14,2,1,4,3,3,30,,2,43,16,4,2,3,36,2,,,Normal,,1,0,0,Level 4
4018,41,,,,,5,11145,88,12,6,1,3,1,4,1,,7,53,1,4,2,4,41,1,,Very High,High,,1,0,1,Level 2
4019,52,,,,,3,3602,83,26,2,7,1,4,3,70,,6,37,15,3,2,4,25,3,,Medium,Normal,,1,1,0,Level 1
4020,49,,,,,1,17263,77,24,6,6,2,2,4,60,,2,30,10,3,1,1,22,3,,,Low,,1,0,1,Level 4
4021,36,,,,,4,18621,55,13,9,2,1,5,2,56,,5,55,9,2,2,3,5,4,,,High,,1,0,0,Level 4
4022,51,,,,,2,17991,78,8,2,9,1,4,3,99,,6,58,9,2,4,4,14,3,,,High,Expert,1,1,0,Level 4
4023,33,,,,,5,8334,32,5,7,3,4,5,1,8,,7,31,2,3,3,3,25,3,,High,Low,Experienced,1,0,0,Level 2
4024,29,,,,,5,12179,84,11,14,2,1,4,4,89,,8,47,14,1,2,2,5,4,,,High,Expert,1,0,1,Level 3
4025,55,,,,,5,7236,25,24,11,3,2,3,1,51,,5,52,18,4,2,4,5,3,,High,High,,1,1,0,Level 2
4026,53,,,,,1,13507,79,20,1,9,3,5,4,9,,2,43,3,3,3,4,4,4,,,Normal,,1,1,1,Level 3
4027,28,,,,,2,6118,37,6,9,4,4,4,1,30,,1,50,14,1,3,1,42,1,,High,High,Senior,1,0,0,Level 1
4028,47,,,,,1,4083,18,7,4,9,4,2,1,14,,6,51,3,3,2,2,12,4,,Medium,High,Senior,1,0,0,Level 1
4029,30,,,,,2,6546,21,22,5,0,2,3,4,16,,6,49,18,1,4,2,38,2,,High,High,,1,0,1,Level 1
4030,33,,,,,4,11231,55,22,4,5,1,2,1,26,,7,41,8,4,1,3,43,2,,Very High,Normal,,1,0,0,Level 2
4031,58,,,,,3,16657,63,24,10,4,1,1,4,53,,1,42,10,4,1,4,32,4,,,Normal,,1,1,1,Level 4
4032,38,,,,,2,4350,31,15,9,4,1,1,3,60,,7,49,7,2,1,4,37,2,,Medium,High,,1,0,0,Level 1
4033,34,,,,,1,17140,89,5,14,8,4,1,3,99,,4,35,0,1,4,1,37,2,,,Low,Experienced,1,0,0,Level 4
4034,47,,,,,1,6282,69,24,1,2,4,3,3,13,,2,42,14,3,1,1,16,4,,High,Normal,,1,0,0,Level 1
4035,43,,,,,1,9611,41,9,10,2,4,2,3,91,,9,45,1,3,3,3,6,1,,Very High,Normal,Expert,1,0,0,Level 2
4036,27,,,,,3,13556,26,28,6,8,4,4,4,71,,8,48,14,1,4,3,41,4,,,High,,1,0,1,Level 3
4037,28,,,,,2,18570,61,20,13,7,1,3,4,49,,3,51,14,4,2,4,38,1,,,High,,1,0,1,Level 4
4038,52,,,,,2,7910,48,19,12,8,3,4,2,91,,1,52,10,2,2,1,48,2,,High,High,,1,1,0,Level 2
4039,52,,,,,2,13448,22,5,5,9,1,3,2,29,,5,52,17,3,3,3,22,2,,,High,Experienced,1,1,0,Level 3
4040,38,,,,,2,6985,37,13,8,9,3,5,1,40,,8,44,9,4,3,3,21,4,,High,Normal,,1,0,0,Level 1
4041,22,,,,,5,10443,40,26,2,7,3,1,2,92,,2,54,18,4,1,4,31,2,,Very High,High,,1,0,0,Level 2
4042,29,,,,,5,19875,48,26,12,6,1,1,4,11,,8,34,16,3,1,3,21,2,,,Low,,1,0,1,Level 4
4043,59,,,,,1,9441,46,12,4,1,4,5,2,98,,9,54,9,2,4,2,6,1,,Very High,High,,1,1,0,Level 2
4044,20,,,,,5,10976,20,5,5,4,4,2,3,82,,6,48,16,3,3,2,45,1,,Very High,High,Experienced,1,0,0,Level 2
4045,48,,,,,2,4949,79,7,8,9,1,1,2,53,,8,48,14,4,3,1,6,1,,Medium,High,Senior,1,0,0,Level 1
4046,53,,,,,2,6133,73,3,13,6,3,1,4,45,,9,35,2,4,4,3,23,2,,High,Low,New,0,1,1,Level 1
4047,32,,,,,5,14709,64,13,1,4,3,2,4,68,,8,33,8,4,2,1,16,4,,,Low,,1,0,1,Level 3
